"Thématiques","Critères","Accueil",Recherche,Entreprises
"8","7","c|La gestion des cookies reste en français lorsque la langue du site est passée en anglais. Aussi, le changement de langue ne fonctionne pas sur Safari (v15.1, sur macOS Catalina 10.15.7)","c|La gestion des cookies reste en français lorsque la langue du site est passée en anglais. Aussi, le changement de langue ne fonctionne pas sur Safari (v15.1, sur macOS Catalina 10.15.7)","c|La gestion des cookies reste en français lorsque la langue du site est passée en anglais. Aussi, le changement de langue ne fonctionne pas sur Safari (v15.1, sur macOS Catalina 10.15.7)"
"8","8","c",c,c
"8","9","c",c,c
"8","10","na",na,na
"9","1","c",c,c
"9","2","c",c,c
"9","3","na",na,na
"9","4","na",na,na
"10","1","c",c,c
"10","2","nc|Les liens images de la *sidebar* de droite (vidéo marketing, faq, contact) sont des SVGs blancs sur fond (par défaut) blanc. Il faut refaire cette *sidebar* avec des textes par exemple.","nc|Les liens images de la *sidebar* de droite (vidéo marketing, faq, contact) sont des SVGs blancs sur fond (par défaut) blanc. Il faut refaire cette *sidebar* avec des textes par exemple.","nc|Les liens images de la *sidebar* de droite (vidéo marketing, faq, contact) sont des SVGs blancs sur fond (par défaut) blanc. Il faut refaire cette *sidebar* avec des textes par exemple."
"10","3","c|Information généralement difficilement compréhensible sans les styles",c|Information généralement difficilement compréhensible sans les styles,c|Information généralement difficilement compréhensible sans les styles
"10","4","nc|La composition de la page est complètement cassée lorsque l'on zoom le texte à 200% (à vérifier sur Firefox en sélectionnant ""Affichage"" > ""Zoom"" > ""Zoom texte seulement"")","nc|La composition de la page est complètement cassée lorsque l'on zoom le texte à 200% (à vérifier sur Firefox en sélectionnant ""Affichage"" > ""Zoom"" > ""Zoom texte seulement"")","nc|La composition de la page est complètement cassée lorsque l'on zoom le texte à 200% (à vérifier sur Firefox en sélectionnant ""Affichage"" > ""Zoom"" > ""Zoom texte seulement"")"
"10","5","c",c,c
"10","6","na",na,na
"10","7","c|Contraste de l'outline du focus améliorable sur certains éléments, notamment dans le footer","c|Contraste de l'outline du focus améliorable sur certains éléments, notamment dans le footer","c|Contraste de l'outline du focus améliorable sur certains éléments, notamment dans le footer"
"10","8","c","nc|Sur les (faux) boutons correspondants aux filtres appliqués, en rouge, les images de croix ne devraient pas être cachées avec `aria-hidden`.",c
"10","9","c",c,c
"10","10","c",c,c
"10","11","c",c,c
"10","12","nc|Les titres de régions dépassent de leur cercle",c,c
"10","13","nc|Si l'on survole un lien du menu principal avec la souris, on ne peut le cacher avec le clavier
Cf. https://www.w3.org/TR/wai-aria-practices-1.1/examples/menubar/menubar-1/menubar-1.html","nc|Si l'on survole un lien du menu principal avec la souris, on ne peut le cacher avec le clavier
Cf. https://www.w3.org/TR/wai-aria-practices-1.1/examples/menubar/menubar-1/menubar-1.html","nc|Si l'on survole un lien du menu principal avec la souris, on ne peut le cacher avec le clavier
Cf. https://www.w3.org/TR/wai-aria-practices-1.1/examples/menubar/menubar-1/menubar-1.html"
"10","14","na",na,na
"11","1","c",nc|Pas de `label` dans le champ de recherche du *footer*,nc|Pas de `label` dans le champ de recherche du *footer*
"11","2","nc|""Recherche global"" au lieu de ""Recherche globale"". Pas nécessaire de mettre un aria-label sur l'élément `<form>`","nc|""Recherche global"" au lieu de ""Recherche globale"". Pas nécessaire de mettre un aria-label sur l'élément `<form>`","nc|""Recherche global"" au lieu de ""Recherche globale"". Pas nécessaire de mettre un aria-label sur l'élément `<form>`"
"11","3","c",c,c
"11","4","c",c,c
"11","5","na",nc|Les filtres sur la gauche ne sont pas regroupés,na
"11","6","na",nc|Le titre de la zone de filters devraient être englobé dans une balise `<legend>`,na
"11","7","na",na,na
"11","8","na",na,nc
"11","9","c",nc|Les boutons permettant de plier / déplier les filtres par rubrique n'ont pas d'intitulé.,nc|Le bouton de recherche dans le footer n’a pas un intitulé pertinent
"11","10","na",na,na
"11","11","na",na,na
"11","12","na",na,na
"11","13","na",na,na
"12","1","c",c,c
"12","2","c",c,c
"12","3","c",c,c
"12","4","c",c,c
"12","5","c",c,c
"12","6","c",c,c
"12","7","c",c,c
"12","8","c",c,c
"12","9","na",na,na
"12","10","na",na,na
"12","11","na",na,na
"13","1","c",c,c
"13","2","c",c,c
"13","3","nc",nc,nc
"13","4","na",na,na
"13","5","na",na,na
"13","6","na",na,na
"13","7","na",na,na
"13","8","na",na,na
"13","9","c",c,c
"13","10","na",na,na
"13","11","na",na,na
"13","12","na",na,na
