"Thématiques","Critères","Accueil",Recherche,Entreprises
"8","2","nc|De nombreuses erreurs sur validator.w3.org, notamment des ids """" ou des ids dupliqués. Le code HTML étant partiellement hydraté par des scripts après le chargement initial, il convient de faire un copier-coller du code HTML ""complet"" et de le faire valider dans [la zone de texte du validateur W3C](https://validator.w3.org/nu/#textarea)","nc|De nombreuses erreurs sur validator.w3.org, notamment des ids """" ou des ids dupliqués. Le code HTML étant partiellement hydraté par des scripts après le chargement initial, il convient de faire un copier-coller du code HTML ""complet"" et de le faire valider dans [la zone de texte du validateur W3C](https://validator.w3.org/nu/#textarea)","nc|De nombreuses erreurs sur validator.w3.org, notamment des ids """" ou des ids dupliqués. Le code HTML étant partiellement hydraté par des scripts après le chargement initial, il convient de faire un copier-coller du code HTML ""complet"" et de le faire valider dans [la zone de texte du validateur W3C](https://validator.w3.org/nu/#textarea)"
"8","3","c",c,c
"8","4","c",c,c
"8","5","c",c,c
"8","6","c",c,c
"8","7","c|La gestion des cookies reste en français lorsque la langue du site est passée en anglais. Aussi, le changement de langue ne fonctionne pas sur Safari (v15.1, sur macOS Catalina 10.15.7)","c|La gestion des cookies reste en français lorsque la langue du site est passée en anglais. Aussi, le changement de langue ne fonctionne pas sur Safari (v15.1, sur macOS Catalina 10.15.7)","c|La gestion des cookies reste en français lorsque la langue du site est passée en anglais. Aussi, le changement de langue ne fonctionne pas sur Safari (v15.1, sur macOS Catalina 10.15.7)"
"8","8","c",c,c
"8","9","c",c,c
"8","10","na",na,na
"9","1","c",c,c
"9","2","c",c,c
"9","3","na",na,na
"9","4","na",na,na
"10","1","c",c,c
"10","2","nc|Les liens images de la *sidebar* de droite (vidéo marketing, faq, contact) sont des SVGs blancs sur fond (par défaut) blanc. Il faut refaire cette *sidebar* avec des textes par exemple.","nc|Les liens images de la *sidebar* de droite (vidéo marketing, faq, contact) sont des SVGs blancs sur fond (par défaut) blanc. Il faut refaire cette *sidebar* avec des textes par exemple.","nc|Les liens images de la *sidebar* de droite (vidéo marketing, faq, contact) sont des SVGs blancs sur fond (par défaut) blanc. Il faut refaire cette *sidebar* avec des textes par exemple."
"10","3","c|Information généralement difficilement compréhensible sans les styles",c|Information généralement difficilement compréhensible sans les styles,c|Information généralement difficilement compréhensible sans les styles
"10","4","nc|La composition de la page est complètement cassée lorsque l'on zoom le texte à 200% (à vérifier sur Firefox en sélectionnant ""Affichage"" > ""Zoom"" > ""Zoom texte seulement"")","nc|La composition de la page est complètement cassée lorsque l'on zoom le texte à 200% (à vérifier sur Firefox en sélectionnant ""Affichage"" > ""Zoom"" > ""Zoom texte seulement"")","nc|La composition de la page est complètement cassée lorsque l'on zoom le texte à 200% (à vérifier sur Firefox en sélectionnant ""Affichage"" > ""Zoom"" > ""Zoom texte seulement"")"
"10","5","c",c,c
"10","6","na",na,na
"10","7","nc|Les champs de saisie n'ont pas de focus visible (en dehors du *caret*) :
- le champ de recherche principal de la page d'accueil
- le champ de recherche sur le site en entier (dans le footer)

Les sélecteurs de langue ont un focus trop *légé* (peu visible, pas assez contrasté)","nc|Les champs de saisie n'ont pas de focus visible (en dehors du *caret*) :
- le champ de recherche sur le site en entier (dans le footer)

Les sélecteurs de langue ont un focus trop *légé* (peu visible, pas assez contrasté)","nc|Les champs de saisie n'ont pas de focus visible (en dehors du *caret*) :
- le champ de recherche sur le site en entier (dans le footer)Les sélecteurs de langue ont un focus trop *légé* (peu visible, pas assez contrasté)"
"10","8","nc|La modale tutoriel ne devrait pas être cachée",nc|La modale tutoriel ne devrait pas être cachée. Les images de croix (qui auraient dû être des éléments `<button>`) des filtres ne devraients pas être cachés avec `aria-hidden`),nc|La modale tutoriel ne devrait pas être cachée
"10","9","c",c,c
"10","10","c",c,c
"10","11","c",c,c
"10","12","nc|Les titres de régions dépassent de leur cercle",c,c
"10","13","nc|Si l'on survole un lien du menu principal avec la souris, on ne peut le cacher avec le clavier
Cf. https://www.w3.org/TR/wai-aria-practices-1.1/examples/menubar/menubar-1/menubar-1.html","nc|Si l'on survole un lien du menu principal avec la souris, on ne peut le cacher avec le clavier
Cf. https://www.w3.org/TR/wai-aria-practices-1.1/examples/menubar/menubar-1/menubar-1.html","nc|Si l'on survole un lien du menu principal avec la souris, on ne peut le cacher avec le clavier
Cf. https://www.w3.org/TR/wai-aria-practices-1.1/examples/menubar/menubar-1/menubar-1.html"
"10","14","na",na,na
"11","1","nc|Les 2 champs de recherche n’ont pas de `label`
Attention, erreur dans l'attibut `aria-labelledby=""Recherche rapide""` (il faut indiquer un `id` et pas une chaine de caracatères).
Attention, erreur dans l'attibut `for=""recently-updated""` (il faut indiquer l'`id` et pas le `name` du champ associé)",nc|Pas de `label` dans le champ de recherche du *footer*,nc|Pas de `label` dans le champ de recherche du *footer*
"11","2","c",nc,nc
"11","3","c",c,c
"11","4","c",c,c
"11","5","na",nc|Les filtres sur la gauche ne sont pas regroupés,na
"11","6","na",nc|Le titre de la zone de filters devraient être englobé dans une balise `<legend>`,na
"11","7","na",na,na
"11","8","na",na,nc
"11","9","nc|- Le bouton de recherche dans le footer n’a pas un intitulé pertinent (""icon global search""). Suggestion : remplacer par ""Rechercher"".
- Le bouton de changement de langue est intitulé ""drapeau français"". Suggestion : remplacer par ""Afficher la liste des langues disponibles pour ce site""
","nc|Le bouton de recherche dans le footer n’a pas un intitulé pertinent.
Les boutons permettant de plier / déplier les filtres par rubrique n'ont pas d'intitulé.",nc|Le bouton de recherche dans le footer n’a pas un intitulé pertinent
"11","10","na",na,na
"11","11","na",na,na
"11","12","na",na,na
"11","13","na",na,na
"12","1","c",c,c
"12","2","c",c,c
"12","3","c",c,c
"12","4","c",c,c
"12","5","c",c,c
"12","6","c|Le lien d'évitement ""aller au contenu"" est dédoublé","c|Le lien d'évitement ""aller au contenu"" est dédoublé","c|Le lien d'évitement ""aller au contenu"" est dédoublé"
"12","7","c",c,c
"12","8","c",c,c
"12","9","na",na,na
"12","10","na",na,na
"12","11","na",na,na
"13","1","c",c,c
"13","2","nc",nc,nc|Le bouton `je donne mon avis`
"13","3","nc",nc,nc
"13","4","na",na,na
"13","5","na",na,na
"13","6","na",na,na
"13","7","na",na,na
"13","8","na",na,na
"13","9","c",c,c
"13","10","na",na,na
"13","11","na",na,na
"13","12","na",na,na
